kind	legacyId	owner	disposition	replacementId
kotlin	com/salesforce/revoman/internal/postman/Info#public final class com/salesforce/revoman/internal/postman/Info {	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public final field requestName Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public fun <init> (Ljava/lang/String;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public final fun component1 ()Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public final fun copy (Ljava/lang/String;)Lcom/salesforce/revoman/internal/postman/Info;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public static synthetic fun copy$default (Lcom/salesforce/revoman/internal/postman/Info;Ljava/lang/String;ILjava/lang/Object;)Lcom/salesforce/revoman/internal/postman/Info;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public fun equals (Ljava/lang/Object;)Z	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public fun hashCode ()I	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/Info#public fun toString ()Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final class com/salesforce/revoman/internal/postman/PostmanSDK {	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final field collectionVariables Lcom/salesforce/revoman/output/postman/PostmanEnvironment;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field currentStepReport Lcom/salesforce/revoman/output/report/StepReport;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final field environment Lcom/salesforce/revoman/output/postman/PostmanEnvironment;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field environmentName Ljava/lang/String;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final field globals Lcom/salesforce/revoman/output/postman/PostmanEnvironment;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field info Lcom/salesforce/revoman/internal/postman/Info;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field request Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field response Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public field rundown Lcom/salesforce/revoman/output/Rundown;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final field variables Lcom/salesforce/revoman/internal/postman/PostmanSDK$Variables;	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final field xml2Json Lcom/salesforce/revoman/internal/postman/PostmanSDK$Xml2Json;	CS2a	removed	JsonCodec
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public fun <init> (Lcom/salesforce/revoman/internal/json/MoshiReVoman;Ljava/lang/String;Lcom/salesforce/revoman/internal/postman/RegexReplacer;Ljava/util/Map;)V	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public synthetic fun <init> (Lcom/salesforce/revoman/internal/json/MoshiReVoman;Ljava/lang/String;Lcom/salesforce/revoman/internal/postman/RegexReplacer;Ljava/util/Map;ILkotlin/jvm/internal/DefaultConstructorMarker;)V	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun evaluateJS (Ljava/lang/String;Ljava/util/Map;)Lorg/graalvm/polyglot/Value;	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public static synthetic fun evaluateJS$default (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;Ljava/util/Map;ILjava/lang/Object;)Lorg/graalvm/polyglot/Value;	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun from (Lcom/salesforce/revoman/internal/postman/template/Request;)Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun getCurrentStepReport ()Lcom/salesforce/revoman/output/report/StepReport;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun getInfo ()Lcom/salesforce/revoman/internal/postman/Info;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun getRequest ()Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun getResponse ()Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun getRundown ()Lcom/salesforce/revoman/output/Rundown;	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun jsonStrToObj (Ljava/lang/String;)Lorg/graalvm/polyglot/Value;	CS2a	removed	JsonPojoUtils.jsonToPojo then JsonCodec
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setCurrentStepReport (Lcom/salesforce/revoman/output/report/StepReport;)V	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setEnvironmentVariable (Ljava/lang/String;Ljava/lang/String;)V	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setInfo (Lcom/salesforce/revoman/internal/postman/Info;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setRequest (Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setResponse (Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setRundown (Lcom/salesforce/revoman/output/Rundown;)V	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public final class com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator {	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;)V	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public synthetic fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;ILkotlin/jvm/internal/DefaultConstructorMarker;)V	CS2a	removed	internal-runtime/PmSandbox
